run_id,status,mode_id,condition_id,seed,simulation_ok,digest,audio_export_path,skipped_reason,error_summary,implementation_status,not_real_modem,downselect_valid,not_downselect_valid,performance_valid,surrogate_model_name,surrogate_model_version,surrogate_limitations,surrogate_readiness_score_synthetic,synthetic_metrics_label
issue0037-codec2-on-012-freedv700d-official-identity-seed-1,completed,freedv700d_official,identity,1,true,539675f602bcc64a,N/A,,official_freedv_completed: official=true; codec2_enabled=true; codec2_available=true; roundtrip_available=true; not_emulator=true; not_surrogate=true,available: Codec2 FreeDV runtime linked; ISSUE-0036 official Mode-boundary roundtrip smoke enabled,false,true,false,true,,,,,
issue0037-codec2-on-013-freedv700d-official-awgn-snr-6db-seed-1,completed,freedv700d_official,awgn-snr-6db,1,true,9ca3f0473e5c51a2,N/A,,official_freedv_completed: official=true; codec2_enabled=true; codec2_available=true; roundtrip_available=true; not_emulator=true; not_surrogate=true,available: Codec2 FreeDV runtime linked; ISSUE-0036 official Mode-boundary roundtrip smoke enabled,false,true,false,true,,,,,
issue0037-codec2-on-014-freedv700d-official-awgn-snr-0db-seed-1,completed,freedv700d_official,awgn-snr-0db,1,true,827aa01de095dccc,N/A,,official_freedv_completed: official=true; codec2_enabled=true; codec2_available=true; roundtrip_available=true; not_emulator=true; not_surrogate=true,available: Codec2 FreeDV runtime linked; ISSUE-0036 official Mode-boundary roundtrip smoke enabled,false,true,false,true,,,,,
issue0037-codec2-on-015-freedv700e-official-identity-seed-1,completed,freedv700e_official,identity,1,true,dfe335b5a4600db8,N/A,,official_freedv_completed: official=true; codec2_enabled=true; codec2_available=true; roundtrip_available=true; not_emulator=true; not_surrogate=true,available: Codec2 FreeDV runtime linked; ISSUE-0036 official Mode-boundary roundtrip smoke enabled,false,true,false,true,,,,,
issue0037-codec2-on-016-freedv700e-official-awgn-snr-6db-seed-1,completed,freedv700e_official,awgn-snr-6db,1,true,259c6e6519071d52,N/A,,official_freedv_completed: official=true; codec2_enabled=true; codec2_available=true; roundtrip_available=true; not_emulator=true; not_surrogate=true,available: Codec2 FreeDV runtime linked; ISSUE-0036 official Mode-boundary roundtrip smoke enabled,false,true,false,true,,,,,
issue0037-codec2-on-017-freedv700e-official-awgn-snr-0db-seed-1,completed,freedv700e_official,awgn-snr-0db,1,true,deeed3336ad96739,N/A,,official_freedv_completed: official=true; codec2_enabled=true; codec2_available=true; roundtrip_available=true; not_emulator=true; not_surrogate=true,available: Codec2 FreeDV runtime linked; ISSUE-0036 official Mode-boundary roundtrip smoke enabled,false,true,false,true,,,,,
issue0037-codec2-on-018-freedv700f-a-balanced-identity-seed-1,completed,freedv700f_a_balanced,identity,1,true,3c8f4341c7d7bc2d,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-019-freedv700f-a-balanced-awgn-snr-6db-seed-1,completed,freedv700f_a_balanced,awgn-snr-6db,1,true,6b6c55170c89a4df,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-020-freedv700f-a-balanced-awgn-snr-0db-seed-1,completed,freedv700f_a_balanced,awgn-snr-0db,1,true,cba2b82da3bd5b29,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-021-freedv700f-b-robust-identity-seed-1,completed,freedv700f_b_robust,identity,1,true,e662fdd1ccb02351,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-022-freedv700f-b-robust-awgn-snr-6db-seed-1,completed,freedv700f_b_robust,awgn-snr-6db,1,true,013cb0ef4cfcf921,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-023-freedv700f-b-robust-awgn-snr-0db-seed-1,completed,freedv700f_b_robust,awgn-snr-0db,1,true,da27cb282eba4938,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-024-freedv700f-c-quality-identity-seed-1,completed,freedv700f_c_quality,identity,1,true,44e4e762caa9680c,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-025-freedv700f-c-quality-awgn-snr-6db-seed-1,completed,freedv700f_c_quality,awgn-snr-6db,1,true,6632df2251c298aa,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
issue0037-codec2-on-026-freedv700f-c-quality-awgn-snr-0db-seed-1,completed,freedv700f_c_quality,awgn-snr-0db,1,true,cba9e36e13ea13dd,N/A,,surrogate_completed: not_real_modem=true downselect_valid=false not_downselect_valid=true performance_valid=false synthetic_metrics_label=synthetic_surrogate_readiness_only,surrogate,true,false,true,false,700f_candidate_minimal_behavior,ISSUE-0032-v1,synthetic readiness only; not a real modem; BER/FER are not emitted as real values,0.625,synthetic_surrogate_readiness_only
